No,material,feedrate,clamp_pressure,X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower_transformed,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process
3,wax,6.00,3.00,198,-0.025,-12.5,198,0,0,0.34,0.0252,330,0.576,0.00000043,158,0.025,6.25,158,0,0,-0.42,0.015,328,2.21,0.000000135,119,-0.025,-12.5,119,0,0,0,0,0,0,339,0.00075,0.188,339,0,0,0.453,2.75E-19,329,0,0.00000112,12,1,2,6,Prep
3,wax,6.00,3.00,198,0.025,18.8,198,0,0,-0.459,0.0226,329,1.79,0,158,0.05,12.5,158,0,0,0.223,0.0163,328,1.69,-0.000000361,119,-0.025,-12.5,119,0,0,0,0,0,0,339,-0.002,-0.25,339,0,0,0.157,2.75E-19,329,0,-0.000000886,12,1,0,6,Prep
3,wax,6.00,3.00,198,0.025,6.25,198,0,0,-0.459,0.017,329,0.929,-0.00000114,158,0.025,6.25,158,0,0,0.854,0.0209,328,0.496,0.00000155,119,0,0,119,0,0,0,0,0,0,339,0.001,0.25,339,0,0,0.363,2.75E-19,329,0,0.000000936,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,6.25,198,0,0,0.659,0.0171,329,1.36,-0.000000153,158,0.025,6.25,158,0,0,-0.42,0.0261,328,2.18,0,119,0,-6.25,119,0,0,0,0,0,0,339,-0.00325,-1.56,339,0,0,0.157,2.75E-19,329,0,-0.000000988,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,-6.25,198,0,0,-1.42,0.0222,329,2.66,0.00000132,158,0,6.25,158,0,0,0.0613,0.0313,328,1.77,0.000000167,119,0,6.25,119,0,0,0,0,0,0,339,0.002,1,339,0,0,0.363,2.75E-19,329,0,0.00000243,12,1,0,6,Prep
3,wax,6.00,3.00,198,-0.025,-6.25,198,0,0,-0.459,0.025,330,1.74,-0.00000144,158,-0.025,-12.5,158,0,0,0.538,0.0241,328,0.687,-0.000000901,119,0,-6.25,119,0,0,0,0,0,0,339,-0.001,0,339,0,0,0.17,2.75E-19,329,0,-0.00000107,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,0,198,0,0,0.659,0.0157,330,1.74,0,158,0.025,6.25,158,0,0,0.696,0.0162,328,0.282,-0.000000358,119,0,0,119,0,0,0,0,0,0,339,0,0,339,0,0,0.26,2.75E-19,329,0,-0.000000885,12,1,0,6,Prep
3,wax,6.00,3.00,198,0.025,12.5,198,0,0,0.979,0.0207,329,2.07,0,158,0.025,12.5,158,0,0,-0.578,0.014,328,2.3,-0.000000283,119,0,0,119,0,0,0,0,0,0,339,0.001,0.5,339,0,0,0.453,2.75E-19,329,0,0,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,0,198,0,0,-0.62,0.0172,330,1.51,0,158,0.025,6.25,158,0,0,-0.424,0.0184,328,1.82,0.000000133,119,0,-6.25,119,0,0,0,0,0,0,339,-0.001,-0.25,339,0,0,-0.0236,2.75E-19,329,0,0.0000014,12,1,0,6,Prep
3,wax,6.00,3.00,198,0,0,198,0,0,0.02,0.0202,330,0.837,0.000000653,158,0.025,6.25,158,0,0,-0.736,0.0154,328,2.86,0.000000312,119,0.025,6.25,119,0,0,0,0,0,0,339,-0.002,-0.188,339,0,0,0.26,2.75E-19,329,0,-0.0000011,12,1,0,6,Prep
3,wax,6.00,3.00,142,-3.15,43.8,142,-3.03,6.52,-5.36,0.0607,327,6.14,0.000334,75.3,5.45,43.8,75.4,5.18,3.83,2.94,0.073,325,11.5,0.000796,29.5,-0.025,-12.5,29.5,0,0,0,0,0,0,428,53.3,-19.2,428,53.3,0.000000954,21.5,0.784,323,119,0.149,12,1,2,6,Prep
3,wax,6.00,3.00,142,-2.45,-6.25,142,-2.33,6.96,-5.75,0.101,326,8.54,0.000537,75.9,5.5,-62.5,75.9,5.53,2.95,5.38,0.0934,325,13.1,0.00106,29.5,0,0,29.5,0,0,0,0,0,0,433,53.4,28.4,434,53.3,0.000000954,24.8,0.847,316,116,0.161,12,1,16,6,Prep
3,wax,6.00,3.00,142,-1.75,-25,142,-1.61,7.28,-4.58,0.0977,326,7.6,0.00033,76.4,5.97,62.5,76.5,5.78,2.05,6.29,0.148,325,17.2,0.0019,29.5,0,6.25,29.5,0,0,0,0,0,0,439,53.3,-18.2,439,53.3,-0.000000954,18.9,0.945,318,116,0.183,12,1,16,6,Prep
3,wax,6.00,3.00,142,-0.95,-6.25,142,-0.873,7.48,-3.1,0.07,327,4.93,0.000155,77,5.8,31.3,77.1,5.94,1.12,8.64,0.153,325,15.7,0.00192,29.5,0,6.25,29.5,0,0,0,0,0,0,444,53.3,24,444,53.3,0,21.8,1.01,317,118,0.192,12,1,16,6,Prep
3,wax,6.00,3.00,141,-0.025,100,141,-0.15,7.56,-5.58,0.0725,327,6.61,-0.0000231,77.6,5.8,31.3,77.7,6,0.208,5.38,0.0999,325,14.9,0.00123,29.5,-0.025,-12.5,29.5,0,0,0,0,0,0,449,53.3,24.5,449,53.3,0,20.2,1,321,119,0.194,12,1,16,6,Prep
3,wax,6.00,3.00,142,6.35,-56.3,142,6,0,4.19,0.09,326,13,0.0012,77.9,0.175,37.5,77.9,0,0,-1.71,0.0221,325,2.06,-0.00000452,29.5,0.025,6.25,29.5,0,0,0,0,0,0,455,53.4,11.4,455,53.3,0,17.4,0.824,319,117,0.159,12,1,16,6,Prep
3,wax,6.00,3.00,142,5.9,-75,142,6,0,4.77,0.0766,327,14.5,0.000926,77.9,0,6.25,77.9,0,0,0.0711,0.0167,325,2.99,-0.00000296,29.5,0,0,29.5,0,0,0,0,0,0,460,53.3,-59.4,460,53.3,-0.000000954,20,0.898,322,118,0.172,12,1,18,6,Prep
3,wax,6.00,3.00,143,6.15,6.25,143,6,0,4.19,0.0775,326,13.7,0.000972,77.9,0.025,6.25,77.9,0,0,-0.49,0.0152,325,0.528,0.00000168,29.5,0,0,29.5,0,0,0,0,0,0,465,53.4,45.5,465,53.3,0,18.1,0.917,321,119,0.176,12,1,18,6,Prep
3,wax,6.00,3.00,143,6,6.25,143,6,0,4.69,0.0978,326,13.5,0.00119,77.9,-0.025,-12.5,77.9,0,0,-1.06,0.0327,325,1.97,0,29.5,0,0,29.5,0,0,0,0,0,0,470,53.2,-36.5,471,53.3,0,23,0.99,322,121,0.191,12,1,18,6,Prep
3,wax,6.00,3.00,144,6,18.8,144,6,0,6.38,0.114,326,13.9,0.00152,77.9,-0.025,-12.5,77.9,0,0,-0.6,0.016,325,1.36,-0.00000163,29.5,0,6.25,29.5,0,0,0,0,0,0,476,53.2,-14.6,476,53.3,0,25,1.05,318,119,0.201,12,1,18,6,Prep
10,wax,12.00,4.00,146,12.1,106,146,12,0,5.78,0.11,324,20.7,0.0028,105,0,0,105,0,0,1.14,0.0253,323,3.65,0.000000271,28.7,0.025,12.5,28.7,0,0,0,0,0,0,1740,53.3,-28.3,1740,53.3,0,26,0.843,321,118,0.159,12,1,2,12,Prep
10,wax,12.00,4.00,147,11.9,-100,147,12,0,6.37,0.0994,324,22.3,0.00245,105,0,0,105,0,0,-0.725,0.0149,323,0.575,-7.55E-08,28.7,-0.025,-12.5,28.7,0,0,0,0,0,0,1750,53.3,8.62,1750,53.3,0,21.9,1.08,321,117,0.208,12,1,70,12,Prep
10,wax,12.00,4.00,148,12.3,100,148,12,0,3.53,0.0864,324,21.1,0.00214,105,-0.025,-12.5,105,0,0,0.756,0.0222,323,2.28,0,28.7,-0.025,-12.5,28.7,0,0,0,0,0,0,1750,53.4,16.3,1750,53.3,0,24.8,0.854,321,112,0.164,12,1,70,12,Prep
10,wax,12.00,4.00,149,11.9,-81.2,149,12,0,6.85,0.105,324,21.7,0.00259,105,-0.025,-12.5,105,0,0,1.23,0.0307,323,3.88,0,28.7,-0.025,-12.5,28.7,0,0,0,0,0,0,1760,53.3,-55.3,1760,53.3,0.000000954,23.9,0.915,321,117,0.176,12,1,70,12,Prep
10,wax,12.00,4.00,151,11.7,-150,151,12,0,9.12,0.121,324,20.7,0.00297,105,0,0,105,0,0,-1.02,0.0176,323,0.871,0.000000467,28.7,0,6.25,28.7,0,0,0,0,0,0,1760,53.2,-39.7,1760,53.3,0,28.2,0.927,317,121,0.175,12,1,70,12,Prep
10,wax,12.00,4.00,152,12.3,93.7,152,12,0,3.63,0.0785,324,21.2,0.00199,105,0,0,105,0,0,0.119,0.0155,323,1.43,0.000000683,28.7,0,0,28.7,0,0,0,0,0,0,1770,53.3,9.87,1770,53.3,0,19.8,1.1,314,115,0.212,12,1,70,12,Prep
10,wax,12.00,4.00,153,12.2,131,153,12,0,4.99,0.0975,324,20.4,0.00246,105,-0.025,-12.5,105,0,0,-0.341,0.0178,323,1.61,0,28.7,0,6.25,28.7,0,0,0,0,0,0,1770,53.4,49.7,1770,53.3,0,14.8,0.913,321,119,0.173,12,1,70,12,Prep
10,wax,12.00,4.00,154,12.2,106,154,12,0,5.3,0.0986,324,21.6,0.00251,105,0,0,105,0,0,0.296,0.0168,323,2.89,4.04E-08,28.7,0.025,12.5,28.7,0,0,0,0,0,0,1780,53.2,-87.4,1780,53.3,0.000000954,27,1.04,317,118,0.199,12,1,70,12,Prep
10,wax,12.00,4.00,155,12.2,93.7,155,12,0,5.01,0.0932,324,21.9,0.00234,105,0.025,6.25,105,0,0,-0.473,0.0163,323,0.988,0,28.7,0.025,6.25,28.7,0,0,0,0,0,0,1780,53.3,-39.3,1780,53.3,0.000000954,20.4,0.995,320,119,0.192,12,1,70,12,Prep
10,wax,12.00,4.00,157,11.9,-87.5,157,12,0,7.05,0.118,324,20.9,0.00299,105,0,0,105,0,0,0.548,0.0196,323,2.66,-0.000000295,28.7,0.025,6.25,28.7,0,0,0,0,0,0,1790,53.5,36.9,1790,53.3,-0.000000954,17.1,0.755,321,115,0.142,12,1,70,12,Prep
10,wax,12.00,4.00,141,0.2,93.7,141,0,0,-4.27,0.0569,324,4.52,0.00000863,77.2,12.7,12.5,77.3,12,0,3.38,0.111,323,17.7,0.00291,29.7,0,6.25,29.7,0,0,0,0,0,0,1250,53.3,13,1250,53.3,-0.000000954,22.3,0.9,317,118,0.173,12,1,2,12,Prep
10,wax,12.00,4.00,141,-0.15,-75,141,0,0,-1.7,0.043,325,2.56,0.0000064,77.8,-0.05,12.5,77.8,0,0,1.08,0.0232,323,3.12,-0.00000143,29.7,0,6.25,29.7,2,500,0,0,0,0,1260,53.5,43.3,1260,53.3,-0.000000954,12.9,0.822,321,119,0.156,12,1,48,50,Prep
10,wax,12.00,4.00,141,-0.175,-87.5,141,0,0,-0.898,0.0442,323,3.75,0,77.8,-0.05,-31.3,77.8,0,0,-0.466,0.0177,322,0.738,-0.00000114,33.3,50,-18.8,33.6,50,0,0,0,0,0,1260,53.3,-23.7,1260,53.3,0,25.1,0.83,320,117,0.157,12,1,52,50,Prep
10,wax,12.00,4.00,141,0.2,100,141,0,0,-0.0535,0.0456,323,4.59,-0.00000585,77.8,-0.025,-12.5,77.8,0,0,-0.466,0.0201,322,0.104,-0.00000295,38.3,50.1,25,38.6,50,0,0,0,0,0,1270,53.3,-6.44,1270,53.3,0,24.4,0.896,317,119,0.171,12,1,52,50,Prep
10,wax,12.00,4.00,141,-0.15,-75,141,0,0,-2.2,0.0413,323,2.21,0,77.8,-0.025,-18.8,77.8,0,0,-0.16,0.0244,322,0.211,0,43.3,50,-12.5,43.6,50,0,0,0,0,0,1270,53.3,-21.8,1270,53.3,0.000000954,17.6,0.822,320,119,0.158,12,1,52,50,Prep
10,wax,12.00,4.00,141,-0.225,-113,141,0,0,-0.851,0.0512,323,2.3,-0.0000132,77.8,-0.025,0,77.8,0,0,2.54,0.0229,322,2.91,-0.00000331,48.3,50,-6.25,48.6,50,0,0,0,0,0,1280,53.3,-51.7,1280,53.3,0.000000954,23.7,0.9,319,116,0.173,12,1,52,50,Prep
10,wax,12.00,4.00,141,0.2,106,141,0,0,-5.28,0.0569,323,3.17,0,77.8,0.025,12.5,77.8,0,0,-0.303,0.0193,322,0.89,0,53.1,50.1,25,53.4,50,0,0,0,0,0,1280,53.2,-51.1,1280,53.3,0,28.2,0.924,318,120,0.174,12,1,52,50,Prep
10,wax,12.00,4.00,142,30.3,825,142,37.6,894,17.9,0.312,323,52.5,0.0212,77.5,-14.9,-444,77.3,-18.8,-447,-17.4,0.291,322,29.2,0.00993,54.7,-0.05,25,54.7,0,0,0,0,0,0,1290,53.3,-7.56,1290,53.3,0,23.1,0.953,320,120,0.182,12,1,52,50,Prep
10,wax,12.00,4.00,146,44.7,-37.5,147,44.7,0.0000954,9.94,0.168,322,64.6,0.0159,75.3,-22.4,25,75.1,-22.4,-0.0000954,-9.47,0.165,321,35.2,0.00781,54.7,0,0,54.7,0,0,0,0,0,0,1290,53.3,-28.5,1290,53.3,0,21.8,0.928,320,115,0.179,12,1,52,50,Prep
10,wax,12.00,4.00,151,26.1,-831,151,18.8,-894,-1.95,0.035,325,26.5,-0.00139,73.2,-12.4,612,73.1,-9.38,447,-3.51,0.0458,323,18.4,0.00101,54.7,-0.025,-6.25,54.7,0,0,0,0,0,0,1300,53.4,61.9,1300,53.3,0,20,0.894,321,118,0.171,12,1,52,50,Prep
4,wax,6.00,2.50,198,0,6.25,198,0,0,-2.22,0.0195,329,2.51,-0.00000333,158,0.025,6.25,158,0,0,-0.26,0.015,328,1.31,-0.000000484,119,0,0,119,0,0,0,0,0,0,339,0,0,339,0,0,0.35,2.75E-19,329,0,0.00000101,12,1,0,50,Prep
4,wax,6.00,2.50,198,0,6.25,198,0,0,-1.26,0.0208,329,1.47,0.0000044,158,0.025,12.5,158,0,0,-1.06,0.0283,328,2.68,0.000000366,119,0,0,119,0,0,0,0,0,0,339,0.00075,0.188,339,0,0,0.35,2.75E-19,329,0,0.00000388,12,1,0,50,Prep
4,wax,6.00,2.50,198,0,0,198,0,0,-0.619,0.0272,329,0.739,0.00000137,158,0.075,25,158,0,0,-0.734,0.0181,328,1.71,0.00000142,119,0,0,119,0,0,0,0,0,0,-486,0,0,-486,0,0,0.215,2.72E-19,329,0,0.00000166,12,1,2,6,Prep
4,wax,6.00,2.50,198,0.025,0,198,0,0,-1.58,0.0213,329,1.44,-0.00000242,158,-0.025,-18.8,158,0,0,0.694,0.0224,328,0.468,0.000000751,119,0,0,119,0,0,0,0,0,0,-486,0.001,0,-486,0,0,-0.0273,2.72E-19,329,0,0.00000282,12,1,0,6,Prep
4,wax,6.00,2.50,198,-0.025,-6.25,198,0,0,-0.619,0.0229,329,0.879,-0.000000667,158,0.075,25,158,0,0,-0.421,0.0169,328,0.744,0,119,-0.025,-6.25,119,0,0,0,0,0,0,-486,-0.002,-0.687,-486,0,0,0.556,2.72E-19,329,0,-0.000000874,12,1,0,6,Prep
4,wax,6.00,2.50,198,0.025,6.25,198,0,0,-2.06,0.0428,329,2.36,0,158,-0.05,-25,158,0,0,0.0702,0.0143,328,2.38,0.000000535,119,-0.025,-6.25,119,0,0,0,0,0,0,-486,-0.001,0,-486,0,0,0.215,2.72E-19,329,0,-0.00000191,12,1,0,6,Prep
4,wax,6.00,2.50,198,0.025,0,198,0,0,-2.06,0.0215,329,2.09,0.00000165,158,0,0,158,0,0,0.374,0.0266,328,1.1,0.00000101,119,0,0,119,0,0,0,0,0,0,-486,0.001,0.5,-486,0,0,0.248,2.72E-19,329,0,0.00000127,12,1,0,6,Prep
4,wax,6.00,2.50,198,-0.025,-12.5,198,0,0,-0.14,0.0339,329,1.24,0.00000094,158,0.05,18.8,158,0,0,0.532,0.0171,328,0.515,0.000000416,119,0,0,119,0,0,0,0,0,0,-486,0,0,-486,0,0,0.215,2.72E-19,329,0,0.00000192,12,1,0,6,Prep
4,wax,6.00,2.50,198,-0.025,-12.5,198,0,0,0.34,0.022,329,1.52,-0.00000168,158,-0.05,-18.8,158,0,0,-0.413,0.0216,327,2.29,-0.00000115,119,0,0,119,0,0,0,0,0,0,-486,0.002,0.25,-486,0,0,0.491,2.72E-19,329,0,0.00000764,12,1,0,6,Prep
4,wax,6.00,2.50,198,-0.025,-6.25,198,0,0,-1.74,0.0213,329,1.96,-0.00000101,158,0,0,158,0,0,0.0623,0.0147,327,1.59,0.000000273,119,0.025,12.5,119,0,0,0,0,0,0,-486,-0.001,-0.5,-486,0,0,0.863,2.72E-19,329,0,-0.00000315,12,1,0,6,Prep
4,wax,6.00,2.50,198,0,0,198,0,0,-0.62,0.0204,329,1.52,-0.00000115,158,0.025,6.25,158,0,0,0.0553,0.0148,328,1.03,-0.000000264,119,-0.025,-6.25,119,0,0,0,0,0,0,-486,0.001,0.25,-486,0,0,0.215,2.72E-19,329,0,0.0000025,12,1,0,6,Prep
4,wax,6.00,2.50,198,0,0,198,0,0,-1.58,0.019,329,1.6,0.00000119,158,0.025,6.25,158,0,0,-0.414,0.021,328,1.77,0,119,-0.025,-12.5,119,0,0,0,0,0,0,-486,0.002,0.75,-486,0,0,0.555,2.72E-19,329,0,-0.000000458,12,1,0,6,Prep
4,wax,6.00,2.50,152,6,37.5,152,6,0,4.29,0.101,326,14.1,0.00131,74.5,0.1,50,74.5,0,0,-4.66,0.0709,325,4.66,0.0000219,29.5,0,0,29.5,0,0,0,0,0,0,-259,53.4,2.63,-258,53.3,0,21.4,0.889,318,116,0.172,12,1,2,6,Prep
4,wax,6.00,2.50,153,5.78,-18.8,153,6,0,6.31,0.113,326,14.6,0.00144,74.5,0.125,56.3,74.5,0,0,-4.5,0.0697,325,4.44,-0.000022,29.5,0,0,29.5,0,0,0,0,0,0,-254,53.4,35.9,-253,53.3,0,17.1,0.728,319,118,0.14,12,1,20,6,Prep
4,wax,6.00,2.50,154,5.8,-93.7,154,6,0,5.39,0.0805,326,13.5,0.000947,74.5,0.1,43.8,74.5,0,0,-4.5,0.0681,325,4.82,0.0000428,29.5,0,0,29.5,0,0,0,0,0,0,-248,53.2,-73.2,-248,53.3,0.000000954,27.8,1.1,319,118,0.209,12,1,20,6,Prep
4,wax,6.00,2.50,154,6.05,-31.3,154,6,0,3.92,0.076,326,13.3,0.000871,74.5,0.1,50,74.5,0,0,-4,0.0691,325,5.49,0.0000108,29.5,0,0,29.5,0,0,0,0,0,0,-243,53.4,50.1,-242,53.3,0,19.5,0.884,317,115,0.167,12,1,20,6,Prep
4,wax,6.00,2.50,155,6.13,6.25,155,6,0,3.71,0.0764,326,13.6,0.000948,74.5,-0.1,-50,74.5,0,0,-2.27,0.0577,324,4.8,0,29.5,0,0,29.5,0,0,0,0,0,0,-237,53.3,-5,-237,53.3,0,22,0.877,323,117,0.17,12,1,20,6,Prep
4,wax,6.00,2.50,155,5.8,706,155,6,-0.126,17.4,0.296,326,22.5,0.00465,74.5,0.125,50,74.5,0.101,9.07,-4.18,0.0666,325,4.52,0.0000315,29.5,0,0,29.5,0,0,0,0,0,0,-232,53.2,-41.6,-232,53.3,0,23.1,1.04,319,118,0.201,12,1,20,6,Prep
4,wax,6.00,2.50,156,5.88,-6.25,156,5.92,-1.49,5.94,0.103,326,13.3,0.00126,74.5,0.9,0,74.5,1,8.95,6.24,0.114,325,9.05,0.000258,29.5,0,0,29.5,0,0,0,0,0,0,-227,53.4,40.3,-226,53.3,0,20.8,0.832,318,118,0.159,12,1,20,6,Prep
4,wax,6.00,2.50,156,5.6,-56.3,157,5.69,-2.87,6.08,0.11,326,13.5,0.00129,74.7,1.95,25,74.7,1.92,8.6,6.07,0.108,325,7.62,0.000466,29.5,0,0,29.5,0,0,0,0,0,0,-222,53.3,-30.4,-221,53.3,0.000000954,22,0.929,319,117,0.18,12,1,20,6,Prep
16,wax,20.00,3.00,198,0,6.25,198,0,0,-1.58,2.78E-19,331,0,-0.00000108,158,0,0,158,0,0,-1.06,2.78E-19,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,0,-0.188,-273,0,0,0.193,2.77E-19,330,0,0.00000391,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,-1.9,2.78E-19,330,0,0.00000203,158,0,0,158,0,0,-0.42,2.78E-19,329,0,0.00000156,119,-0.025,-6.25,119,0,0,0,0,0,0,-273,0.00175,0.875,-273,0,0,1.27,2.77E-19,330,0,0,12,1,2,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,-0.301,2.78E-19,330,0,0,158,0.025,12.5,158,0,0,-0.898,2.78E-19,329,0,-0.00000398,119,0,0,119,0,0,0,0,0,0,-273,0,-0.25,-273,0,0,1.5,2.77E-19,330,0,0.00000346,12,1,0,50,Prep
16,wax,20.00,3.00,198,-0.025,-12.5,198,0,0,-0.46,2.78E-19,330,0,0.00000175,158,0,0,158,0,0,0.222,2.78E-19,329,0,0.00000167,119,0,0,119,0,0,0,0,0,0,-273,-0.002,-0.5,-273,0,0,0.193,2.77E-19,330,0,-0.00000635,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,-1.1,2.78E-19,330,0,-0.00000182,158,0,0,158,0,0,-0.578,2.78E-19,329,0,-0.00000471,119,0,0,119,0,0,0,0,0,0,-273,0,0.188,-273,0,0,0.706,2.77E-19,330,0,0,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,6.25,198,0,0,0.658,2.78E-19,330,0,0,158,0,0,158,0,0,-0.262,2.78E-19,329,0,0.00000166,119,0,0,119,0,0,0,0,0,0,-273,0.001,0.5,-273,0,0,0.476,2.77E-19,330,0,0,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,-0.14,2.78E-19,330,0,-0.0000015,158,0,0,158,0,0,-0.891,2.78E-19,329,0,0.00000157,119,0,0,119,0,0,0,0,0,0,-273,0.004,1.25,-273,0,0,0.476,2.77E-19,330,0,0.00000745,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,-0.461,2.78E-19,330,0,0,158,0,0,158,0,0,-1.21,2.78E-19,329,0,0.00000193,119,0,0,119,0,0,0,0,0,0,-273,-0.002,-0.5,-273,0,0,1.22,2.77E-19,330,0,-0.0000131,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,6.25,198,0,0,-0.141,2.78E-19,330,0,0.00000218,158,0,0,158,0,0,-0.1,2.78E-19,329,0,-0.00000173,119,0,0,119,0,0,0,0,0,0,-273,0,0.438,-273,0,0,-0.0368,2.77E-19,330,0,0,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,-0.459,2.78E-19,330,0,-0.00000109,158,0,0,158,0,0,-0.578,2.78E-19,329,0,-0.00000127,119,0,0,119,0,0,0,0,0,0,-273,0,0,-273,0,0,0.989,2.77E-19,330,0,-0.0000023,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,-0.458,2.78E-19,330,0,-0.00000263,158,0,0,158,0,0,-0.736,2.78E-19,329,0,0,119,0,0,119,0,0,0,0,0,0,-273,-0.001,0.188,-273,0,0,1.22,2.77E-19,330,0,-0.00000291,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,-0.619,2.78E-19,330,0,0,158,0,0,158,0,0,-0.0971,2.78E-19,329,0,0.00000346,119,0,0,119,0,0,0,0,0,0,-273,0.00075,0.188,-273,0,0,0.989,2.77E-19,330,0,0.00000226,12,1,2,50,Prep
16,wax,20.00,3.00,198,0.025,6.25,198,0,0,1.3,2.78E-19,331,0,-0.00000129,158,0,0,158,0,0,-0.101,2.78E-19,329,0,0.000000783,119,0,0,119,0,0,0,0,0,0,-273,0.001,0.5,-273,0,0,0.193,2.77E-19,330,0,-0.00000384,12,1,0,50,Prep
16,wax,20.00,3.00,198,0,0,198,0,0,0.339,2.78E-19,331,0,0.0000043,158,0,0,158,0,0,-0.101,2.78E-19,329,0,0.00000135,119,0,0,119,0,0,0,0,0,0,-273,-0.001,-0.25,-273,0,0,0.193,2.77E-19,330,0,9.78E-08,12,1,0,50,Prep
